Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Tax,Total_Amount
FDB15,10.895,Low Fat,0.228993134,Dairy,263.4568,OUT010,1998,Medium,Tier 3,Grocery Store,527.3136,26.365679999999998,553.67928
FDC40,16.0,Regular,0.065431917,Dairy,76.1986,OUT017,2007,Medium,Tier 2,Supermarket Type1,1869.5664,93.47832,1963.0447199999999
FDE53,12.857645184135976,Low Fat,0.026749991,Frozen Foods,106.928,OUT027,1985,Medium,Tier 3,Supermarket Type3,2876.256,143.8128,3020.0688
FDK24,9.195,Low Fat,0.06613202877895108,Baking Goods,43.6744,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.4696,20.37348,427.84308
FDW31,11.35,Regular,0.043333912,Fruits and Vegetables,201.0742,OUT018,2009,Medium,Tier 3,Supermarket Type2,2189.8162,109.49081000000001,2299.3070100000004
NCX29,10.0,Low Fat,0.089656812,Health and Hygiene,144.0102,OUT017,2007,Medium,Tier 2,Supermarket Type1,1603.9122,80.19561,1684.10781
NCM07,9.395,Low Fat,0.039954281,Others,82.4908,OUT035,2004,Small,Tier 2,Supermarket Type1,2013.3792,100.66896000000001,2114.0481600000003
DRN36,12.857645184135976,Low Fat,0.087854925,Soft Drinks,95.9752,OUT019,1985,Small,Tier 1,Grocery Store,95.8752,4.793760000000001,100.66896000000001
FDQ37,20.75,Low Fat,0.149404057,Breakfast,192.8478,OUT010,1998,Medium,Tier 3,Grocery Store,774.9912,38.74956,813.74076
FDK43,9.8,Low Fat,0.0268952,Meat,128.402,OUT045,2002,Medium,Tier 2,Supermarket Type1,2403.538,120.1769,2523.7149
FDK28,5.695,Low Fat,0.065857092,Frozen Foods,258.5646,OUT018,2009,Medium,Tier 3,Supermarket Type2,4380.2982,219.01491000000001,4599.31311
FDR43,18.2,Low Fat,0.161817014,Fruits and Vegetables,37.819,OUT045,2002,Medium,Tier 2,Supermarket Type1,219.714,10.985700000000001,230.6997
FDL48,19.35,Regular,0.082197959,Baking Goods,49.2034,OUT013,1987,High,Tier 3,Supermarket Type1,729.051,36.45255,765.50355
DRL23,18.35,Low Fat,0.015335349,Hard Drinks,106.6938,OUT045,2002,Medium,Tier 2,Supermarket Type1,1393.5194,69.67596999999999,1463.19537
NCX42,6.36,Low Fat,0.00599072,Household,163.6526,OUT045,2002,Medium,Tier 2,Supermarket Type1,5262.4832,263.12416,5525.60736
DRD37,9.8,Low Fat,0.013898123,Soft Drinks,46.506,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.848,18.642400000000002,391.4904
FDZ47,12.857645184135976,Regular,0.078912473,Baking Goods,99.9042,OUT027,1985,Medium,Tier 3,Supermarket Type3,3273.7386,163.68693000000002,3437.42553
NCJ54,12.857645184135976,Low Fat,0.059776237,Household,231.7642,OUT027,1985,Medium,Tier 3,Supermarket Type3,5344.3766,267.21882999999997,5611.595429999999
FDL52,6.635,Regular,0.06613202877895108,Frozen Foods,39.7506,OUT013,1987,High,Tier 3,Supermarket Type1,303.6048,15.180240000000001,318.78504000000004
FDC15,18.1,Low Fat,0.297883712,Dairy,156.7288,OUT010,1998,Medium,Tier 3,Grocery Store,314.2576,15.712880000000002,329.97048
NCD19,8.93,Low Fat,0.022059594,Household,56.0614,OUT010,1998,Medium,Tier 3,Grocery Store,276.307,13.815350000000002,290.12235000000004
FDD08,8.3,Low Fat,0.03532494,Fruits and Vegetables,38.9506,OUT013,1987,High,Tier 3,Supermarket Type1,721.0614,36.053070000000005,757.1144700000001
NCN18,8.895,Low Fat,0.124967595,Household,112.7544,OUT045,2002,Medium,Tier 2,Supermarket Type1,3467.4864,173.37432,3640.8607199999997
FDY56,16.35,Regular,0.062411404,Fruits and Vegetables,225.9062,OUT046,1997,Small,Tier 1,Supermarket Type1,5416.9488,270.84744,5687.79624
NCI29,8.6,Low Fat,0.032754431,Health and Hygiene,140.5154,OUT018,2009,Medium,Tier 3,Supermarket Type2,283.6308,14.181540000000002,297.81234
NCE06,12.857645184135976,Low Fat,0.160178832,Household,160.2894,OUT019,1985,Small,Tier 1,Grocery Store,323.5788,16.17894,339.75774
FDC08,19.0,Regular,0.104035148,Fruits and Vegetables,227.772,OUT017,2007,Medium,Tier 2,Supermarket Type1,5206.556,260.32779999999997,5466.8838
FDU52,7.56,Low Fat,0.06390019,Frozen Foods,157.263,OUT045,2002,Medium,Tier 2,Supermarket Type1,2503.408,125.1704,2628.5784
FDN16,12.6,Regular,0.062648111,Frozen Foods,104.899,OUT013,1987,High,Tier 3,Supermarket Type1,1960.781,98.03905,2058.82005
NCM55,15.6,Low Fat,0.111685868,Others,184.7924,OUT010,1998,Medium,Tier 3,Grocery Store,370.1848,18.509240000000002,388.69404
FDR49,8.71,Low Fat,0.233039817,Canned,49.5376,OUT010,1998,Medium,Tier 3,Grocery Store,95.8752,4.793760000000001,100.66896000000001
FDC15,18.1,Low Fat,0.17824575,Dairy,158.1288,OUT049,1999,Medium,Tier 1,Supermarket Type1,3299.7048,164.98524,3464.69004
FDB53,13.35,Low Fat,0.140241213,Frozen Foods,150.2392,OUT017,2007,Medium,Tier 2,Supermarket Type1,2684.5056,134.22528,2818.73088
FDK44,16.6,Low Fat,0.06613202877895108,Fruits and Vegetables,173.3738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,104.26428000000001,2189.54988
FDA16,6.695,Low Fat,0.033935576,Frozen Foods,221.9456,OUT035,2004,Small,Tier 2,Supermarket Type1,2210.456,110.52280000000002,2320.9788000000003
FDO19,12.857645184135976,Regular,0.016516275,Fruits and Vegetables,47.4034,OUT027,1985,Medium,Tier 3,Supermarket Type3,2187.153,109.35764999999999,2296.5106499999997
FDO04,16.6,Low Fat,0.026537206,Frozen Foods,57.2614,OUT046,1997,Small,Tier 1,Supermarket Type1,1049.9666,52.49833,1102.4649299999999
NCL19,15.35,Low Fat,0.015673267,Others,145.047,OUT035,2004,Small,Tier 2,Supermarket Type1,2719.793,135.98965,2855.78265
FDA44,19.7,Low Fat,0.089083914,Fruits and Vegetables,54.593,OUT010,1998,Medium,Tier 3,Grocery Store,56.593,2.8296500000000004,59.422650000000004
FDR60,14.3,Low Fat,0.131152799,Baking Goods,78.6328,OUT017,2007,Medium,Tier 2,Supermarket Type1,231.6984,11.58492,243.28332
FDV37,12.857645184135976,Regular,0.083109455,Canned,195.8426,OUT027,1985,Medium,Tier 3,Supermarket Type3,5734.5354,286.72677,6021.26217
FDG53,10.0,Low Fat,0.045818773,Frozen Foods,138.718,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18,69.909,1468.0890000000002
DRG01,14.8,Low Fat,0.044869794,Soft Drinks,76.467,OUT035,2004,Small,Tier 2,Supermarket Type1,1531.34,76.567,1607.907
FDB38,12.857645184135976,Regular,0.06613202877895108,Canned,160.692,OUT019,1985,Small,Tier 1,Grocery Store,319.584,15.9792,335.5632
FDI27,8.71,Regular,0.04605781,Dairy,43.8744,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.8416,31.69208,665.53368
FDD29,12.15,Low Fat,0.030815427,Frozen Foods,252.0698,OUT010,1998,Medium,Tier 3,Grocery Store,1014.6792,50.73396,1065.41316
NCR41,17.85,Low Fat,0.01806055,Health and Hygiene,97.0094,OUT045,2002,Medium,Tier 2,Supermarket Type1,2094.6068,104.73034000000001,2199.33714
FDW44,9.5,Regular,0.035205866,Fruits and Vegetables,171.3448,OUT049,1999,Medium,Tier 1,Supermarket Type1,2386.2272,119.31136,2505.53856
FDU21,11.8,Regular,0.076705948,Snack Foods,34.7558,OUT035,2004,Small,Tier 2,Supermarket Type1,780.9834,39.049170000000004,820.03257
FDI14,14.1,Low Fat,0.089677773,Canned,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1,1693.7952,84.68976,1778.48496
FDW50,12.857645184135976,Low Fat,0.132327406,Dairy,168.4158,OUT019,1985,Small,Tier 1,Grocery Store,334.2316,16.71158,350.94318000000004
FDN39,19.35,Regular,0.065520388,Meat,168.3816,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.2528,67.11264,1409.36544
FDT31,19.75,Low Fat,0.012518707,Fruits and Vegetables,190.6872,OUT017,2007,Medium,Tier 2,Supermarket Type1,4916.2672,245.81336000000002,5162.08056
FDJ14,10.3,Regular,0.050353695,Canned,78.696,OUT017,2007,Medium,Tier 2,Supermarket Type1,1757.712,87.88560000000001,1845.5976
NCQ43,12.857645184135976,Low Fat,0.110762642,Others,108.5912,OUT027,1985,Medium,Tier 3,Supermarket Type3,1637.868,81.8934,1719.7613999999999
FDZ22,12.857645184135976,Low Fat,0.045050674,Snack Foods,84.925,OUT027,1985,Medium,Tier 3,Supermarket Type3,1747.725,87.38625,1835.11125
FDU38,10.8,Low Fat,0.083016832,Dairy,193.4504,OUT017,2007,Medium,Tier 2,Supermarket Type1,2876.256,143.8128,3020.0688
FDS32,17.75,Regular,0.06613202877895108,Fruits and Vegetables,139.9838,OUT045,2002,Medium,Tier 2,Supermarket Type1,1966.7732,98.33866,2065.11186
DRH13,8.575,Low Fat,0.023983258,Soft Drinks,106.328,OUT018,2009,Medium,Tier 3,Supermarket Type2,958.752,47.9376,1006.6895999999999
DRF03,19.1,Low Fat,0.075836522,Dairy,40.2138,OUT010,1998,Medium,Tier 3,Grocery Store,81.2276,4.06138,85.28898
FDJ20,20.7,Regular,0.100330684,Fruits and Vegetables,123.4388,OUT049,1999,Medium,Tier 1,Supermarket Type1,1238.388,61.919399999999996,1300.3074
FDE22,12.857645184135976,Low Fat,0.051778173,Snack Foods,157.892,OUT019,1985,Small,Tier 1,Grocery Store,319.584,15.9792,335.5632
FDX22,6.785,Regular,0.022970468,Snack Foods,211.0928,OUT035,2004,Small,Tier 2,Supermarket Type1,4418.2488,220.91244000000003,4639.16124
DRM11,6.57,Low Fat,0.066014596,Hard Drinks,259.7278,OUT013,1987,High,Tier 3,Supermarket Type1,2863.6058,143.18028999999999,3006.7860899999996
FDL58,5.78,Regular,0.07429945,Snack Foods,264.9568,OUT045,2002,Medium,Tier 2,Supermarket Type1,1845.5976,92.27988,1937.87748
FDL25,6.92,Regular,0.131128467,Breakfast,93.1804,OUT049,1999,Medium,Tier 1,Supermarket Type1,1561.9668,78.09834000000001,1640.06514
FDD40,20.25,Regular,0.014816356,Dairy,194.1162,OUT049,1999,Medium,Tier 1,Supermarket Type1,3848.324,192.4162,4040.7402
FDT08,13.65,Low Fat,0.049318315,Fruits and Vegetables,149.005,OUT045,2002,Medium,Tier 2,Supermarket Type1,2097.27,104.8635,2202.1335
FDO22,13.5,Regular,0.017960492,Snack Foods,81.596,OUT017,2007,Medium,Tier 2,Supermarket Type1,639.168,31.9584,671.1264
NCM41,16.5,Low Fat,0.035801238,Health and Hygiene,92.612,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.272,27.963600000000003,587.2356000000001
FDJ21,16.7,Regular,0.038606365,Snack Foods,146.5102,OUT045,2002,Medium,Tier 2,Supermarket Type1,2770.3938,138.51969,2908.91349
FDC53,8.68,Low Fat,0.008871687,Frozen Foods,99.7384,OUT018,2009,Medium,Tier 3,Supermarket Type2,295.6152,14.78076,310.39596
DRK35,12.857645184135976,Low Fat,0.125793938,Hard Drinks,36.2506,OUT019,1985,Small,Tier 1,Grocery Store,37.9506,1.8975300000000002,39.848130000000005
FDQ09,7.235,Low Fat,0.058369013,Snack Foods,115.2834,OUT018,2009,Medium,Tier 3,Supermarket Type2,1267.0174,63.35087,1330.36827
DRB48,16.75,Regular,0.06613202877895108,Soft Drinks,39.3822,OUT046,1997,Small,Tier 1,Supermarket Type1,353.5398,17.67699,371.21679
DRE25,15.35,Low Fat,0.073269336,Soft Drinks,92.112,OUT035,2004,Small,Tier 2,Supermarket Type1,1118.544,55.927200000000006,1174.4712000000002
FDL08,10.8,Low Fat,0.049677651,Fruits and Vegetables,245.9144,OUT013,1987,High,Tier 3,Supermarket Type1,4655.2736,232.76368000000002,4888.0372800000005
NCV42,6.26,Low Fat,0.031470832,Household,110.2228,OUT049,1999,Medium,Tier 1,Supermarket Type1,1547.3192,77.36596,1624.68516
FDW03,5.63,Regular,0.024579432,Meat,105.3306,OUT049,1999,Medium,Tier 1,Supermarket Type1,1045.306,52.2653,1097.5713
FDL25,6.92,Regular,0.131665479,Breakfast,91.8804,OUT017,2007,Medium,Tier 2,Supermarket Type1,275.6412,13.782060000000001,289.42326
FDC17,12.15,Low Fat,0.015523707,Frozen Foods,212.0928,OUT018,2009,Medium,Tier 3,Supermarket Type2,2735.1064,136.75532,2871.8617200000003
FDK44,16.6,Low Fat,0.122475364,Fruits and Vegetables,175.5738,OUT045,2002,Medium,Tier 2,Supermarket Type1,347.5476,17.37738,364.92498
FDE34,9.195,Low Fat,0.107891398,Snack Foods,182.7634,OUT046,1997,Small,Tier 1,Supermarket Type1,3817.0314,190.85157,4007.8829699999997
FDP10,19.0,Low Fat,0.128065918,Snack Foods,104.3622,OUT035,2004,Small,Tier 2,Supermarket Type1,1905.5196,95.27598,2000.79558
FDZ22,9.395,Low Fat,0.045361705,Snack Foods,83.825,OUT045,2002,Medium,Tier 2,Supermarket Type1,665.8,33.29,699.0899999999999
NCK19,9.8,Low Fat,0.090390357,Others,192.1478,OUT013,1987,High,Tier 3,Supermarket Type1,2324.9736,116.24868,2441.22228
FDO44,12.857645184135976,Low Fat,0.087029712,Fruits and Vegetables,109.2228,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.1612,160.25806,3365.41926
NCU41,18.85,Low Fat,0.052054819,Health and Hygiene,189.1846,OUT046,1997,Small,Tier 1,Supermarket Type1,2101.9306,105.09653000000002,2207.02713
NCF31,9.13,Low Fat,0.051952573,Household,152.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1821.6288,91.08144,1912.7102399999999
FDG14,9.0,Regular,0.050786366,Canned,152.2024,OUT017,2007,Medium,Tier 2,Supermarket Type1,3643.2576,182.16288,3825.4204799999998
NCH30,17.1,Low Fat,0.067141355,Household,114.586,OUT035,2004,Small,Tier 2,Supermarket Type1,2942.836,147.1418,3089.9777999999997
FDR36,6.715,Regular,0.121485195,Baking Goods,40.2454,OUT013,1987,High,Tier 3,Supermarket Type1,587.2356,29.36178,616.5973799999999
NCJ30,5.82,Low Fat,0.080640478,Household,167.779,OUT046,1997,Small,Tier 1,Supermarket Type1,2886.243,144.31215,3030.55515
FDR08,18.7,Low Fat,0.037699254,Fruits and Vegetables,110.2886,OUT045,2002,Medium,Tier 2,Supermarket Type1,2223.772,111.18860000000001,2334.9606
FDU04,7.93,Low Fat,0.06613202877895108,Frozen Foods,123.2414,OUT018,2009,Medium,Tier 3,Supermarket Type2,487.3656,24.36828,511.73388
NCQ50,18.75,Low Fat,0.034501405,Household,211.7218,OUT017,2007,Medium,Tier 2,Supermarket Type1,5770.4886,288.52443,6059.01303
FDL46,12.857645184135976,Low Fat,0.053795154,Snack Foods,117.7466,OUT027,1985,Medium,Tier 3,Supermarket Type3,1414.1592,70.70796,1484.86716
DRK37,5.0,Low Fat,0.044004675,Soft Drinks,188.853,OUT046,1997,Small,Tier 1,Supermarket Type1,5502.837,275.14185000000003,5777.97885
FDK48,7.445,Low Fat,0.06613202877895108,Baking Goods,76.8354,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.8266,109.09133,2290.91793
FDV58,20.85,Low Fat,0.121250374,Snack Foods,193.9452,OUT046,1997,Small,Tier 1,Supermarket Type1,1565.9616,78.29808000000001,1644.2596800000001
FDN27,20.85,Low Fat,0.06613202877895108,Meat,115.1808,OUT018,2009,Medium,Tier 3,Supermarket Type2,1054.6272,52.731359999999995,1107.35856
FDZ52,19.2,Low Fat,0.100230114,Frozen Foods,112.9886,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.829,83.39145,1751.22045
NCF42,17.35,Low Fat,0.167383061,Household,175.6712,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.3392,140.61696,2952.9561599999997
FDQ48,14.3,Regular,0.034404732,Baking Goods,98.1726,OUT035,2004,Small,Tier 2,Supermarket Type1,489.363,24.46815,513.83115
FDW49,19.5,Low Fat,0.082719632,Canned,179.3002,OUT045,2002,Medium,Tier 2,Supermarket Type1,2865.6032,143.28016,3008.88336
FDR58,6.675,Low Fat,0.041913535,Snack Foods,90.7462,OUT035,2004,Small,Tier 2,Supermarket Type1,1665.8316,83.29158000000001,1749.12318
NCE07,8.18,Low Fat,0.0132043,Household,143.8154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2694.4926,134.72463000000002,2829.21723
FDK14,6.98,Low Fat,0.041105789,Canned,83.4934,OUT046,1997,Small,Tier 1,Supermarket Type1,1555.9746,77.79873,1633.77333
FDC11,12.857645184135976,Low Fat,0.141106202,Starchy Foods,87.9172,OUT027,1985,Medium,Tier 3,Supermarket Type3,3836.3396,191.81698,4028.15658
FDL22,16.85,Low Fat,0.036463975,Snack Foods,90.7488,OUT045,2002,Medium,Tier 2,Supermarket Type1,543.2928,27.164640000000006,570.45744
NCQ41,14.8,Low Fat,0.01946418,Health and Hygiene,196.3794,OUT013,1987,High,Tier 3,Supermarket Type1,1950.794,97.53970000000001,2048.3337
FDX46,12.3,Regular,0.06613202877895108,Snack Foods,57.3562,OUT013,1987,High,Tier 3,Supermarket Type1,177.7686,8.88843,186.65703
FDC35,7.435,Low Fat,0.123086812,Starchy Foods,206.9638,OUT045,2002,Medium,Tier 2,Supermarket Type1,1035.319,51.765950000000004,1087.08495
FDH45,15.1,Regular,0.105646853,Fruits and Vegetables,42.8796,OUT035,2004,Small,Tier 2,Supermarket Type1,949.4308,47.471540000000005,996.90234
FDX33,9.195,Regular,0.118149377,Snack Foods,160.5578,OUT017,2007,Medium,Tier 2,Supermarket Type1,1283.6624,64.18312,1347.8455199999999
DRJ35,10.1,Low Fat,0.046545786,Hard Drinks,59.9878,OUT013,1987,High,Tier 3,Supermarket Type1,484.7024,24.235120000000002,508.93752
FDC40,16.0,Regular,0.065009745,Dairy,79.5986,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832,46.73916,981.5223599999999
FDO19,17.7,Regular,0.016630303,Fruits and Vegetables,48.1034,OUT045,2002,Medium,Tier 2,Supermarket Type1,534.6374,26.73187,561.3692699999999
FDP13,8.1,Regular,0.134532392,Canned,39.448,OUT049,1999,Medium,Tier 1,Supermarket Type1,878.856,43.942800000000005,922.7988
FDP24,20.6,Low Fat,0.083133128,Baking Goods,120.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.9316,66.64658,1399.57818
NCQ42,20.35,Low Fat,0.039428167,Household,127.9678,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.6984,178.03492000000003,3738.7333200000003
FDY59,8.195,Low Fat,0.06613202877895108,Baking Goods,93.1462,OUT018,2009,Medium,Tier 3,Supermarket Type2,647.8234,32.39117,680.21457
FDU14,17.75,Low Fat,0.034823127,Dairy,248.675,OUT045,2002,Medium,Tier 2,Supermarket Type1,4993.5,249.675,5243.175
FDB21,7.475,Low Fat,0.148492521,Fruits and Vegetables,240.6854,OUT035,2004,Small,Tier 2,Supermarket Type1,1691.7978,84.58989000000001,1776.38769
FDT32,19.0,Regular,0.065901299,Fruits and Vegetables,188.7214,OUT018,2009,Medium,Tier 3,Supermarket Type2,1695.7926,84.78963,1780.58223
FDK20,12.6,Regular,0.041622264,Fruits and Vegetables,124.0072,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.7376,202.13688000000002,4244.87448
FDX09,12.857645184135976,Low Fat,0.064933297,Snack Foods,174.837,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.799,238.18995,5001.98895
FDM01,7.895,Regular,0.0945493,Breakfast,102.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.5312,82.02656,1722.55776
DRI37,12.857645184135976,Low Fat,0.107076832,Soft Drinks,58.7904,OUT027,1985,Medium,Tier 3,Supermarket Type3,1288.9888,64.44944000000001,1353.4382400000002
FDL20,17.1,Low Fat,0.128674983,Fruits and Vegetables,112.3886,OUT045,2002,Medium,Tier 2,Supermarket Type1,2334.9606,116.74803,2451.70863
FDU13,8.355,Low Fat,0.188322664,Canned,148.5418,OUT018,2009,Medium,Tier 3,Supermarket Type2,2207.127,110.35635,2317.48335
FDE05,12.857645184135976,Regular,0.06613202877895108,Frozen Foods,145.2102,OUT019,1985,Small,Tier 1,Grocery Store,437.4306,21.871530000000003,459.30213000000003
FDE58,18.5,Low Fat,0.052025392,Snack Foods,118.4124,OUT013,1987,High,Tier 3,Supermarket Type1,2370.248,118.51240000000001,2488.7604
FDT32,12.857645184135976,Regular,0.065316099,Fruits and Vegetables,189.9214,OUT027,1985,Medium,Tier 3,Supermarket Type3,5087.3778,254.36889000000002,5341.74669
FDZ01,8.975,Regular,0.01516265,Canned,101.899,OUT010,1998,Medium,Tier 3,Grocery Store,103.199,5.15995,108.35895
FDM08,10.1,Regular,0.053584207,Fruits and Vegetables,224.4088,OUT046,1997,Small,Tier 1,Supermarket Type1,4697.8848,234.89424,4932.779039999999
FDS58,9.285,Regular,0.020989132,Snack Foods,158.6578,OUT013,1987,High,Tier 3,Supermarket Type1,2406.867,120.34335000000002,2527.2103500000003
FDZ26,11.6,Regular,0.144017405,Dairy,238.3222,OUT046,1997,Small,Tier 1,Supermarket Type1,5736.5328,286.82664,6023.35944
FDC46,12.857645184135976,Low Fat,0.115978122,Snack Foods,183.4266,OUT027,1985,Medium,Tier 3,Supermarket Type3,7192.6374,359.63187,7552.26927
FDY51,12.5,Low Fat,0.081465335,Meat,220.7798,OUT018,2009,Medium,Tier 3,Supermarket Type2,6611.394,330.5697,6941.9637
FDL34,16.0,Low Fat,0.041177505,Snack Foods,142.3496,OUT017,2007,Medium,Tier 2,Supermarket Type1,3246.4408,162.32204000000002,3408.76284
DRG39,14.15,Low Fat,0.042352822,Dairy,51.6982,OUT018,2009,Medium,Tier 3,Supermarket Type2,1262.3568,63.11784,1325.47464
NCG43,20.2,Low Fat,0.074541867,Household,94.1462,OUT018,2009,Medium,Tier 3,Supermarket Type2,1758.3778,87.91889,1846.29669
FDT01,13.65,Regular,0.18454121,Canned,211.5902,OUT045,2002,Medium,Tier 2,Supermarket Type1,4672.5844,233.62922,4906.2136199999995
NCR38,17.25,Low Fat,0.114160573,Household,253.1724,OUT017,2007,Medium,Tier 2,Supermarket Type1,3775.086,188.7543,3963.8403
DRF01,5.655,Low Fat,0.175352413,Soft Drinks,147.4102,OUT049,1999,Medium,Tier 1,Supermarket Type1,2478.7734,123.93867,2602.71207
FDF53,20.75,Regular,0.083590755,Frozen Foods,182.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.3406,153.36703,3220.70763
FDS45,5.175,Regular,0.029471408,Snack Foods,105.4622,OUT013,1987,High,Tier 3,Supermarket Type1,3281.7282,164.08641,3445.81461
FDR20,20.0,Regular,0.028282832,Fruits and Vegetables,46.2744,OUT017,2007,Medium,Tier 2,Supermarket Type1,1086.5856,54.32928000000001,1140.91488
FDY07,11.8,Low Fat,0.06613202877895108,Fruits and Vegetables,46.5402,OUT010,1998,Medium,Tier 3,Grocery Store,229.701,11.485050000000001,241.18605
FDD38,16.75,Regular,0.008208342,Canned,102.8674,OUT045,2002,Medium,Tier 2,Supermarket Type1,1528.011,76.40055,1604.41155
DRF15,18.35,Low Fat,0.03334929,Dairy,155.034,OUT018,2009,Medium,Tier 3,Supermarket Type2,1990.742,99.53710000000001,2090.2790999999997
FDH32,12.8,Low Fat,0.076060037,Fruits and Vegetables,95.141,OUT046,1997,Small,Tier 1,Supermarket Type1,868.869,43.443450000000006,912.31245
NCJ42,19.75,Low Fat,0.014301326,Household,103.0332,OUT046,1997,Small,Tier 1,Supermarket Type1,1230.3984,61.519920000000006,1291.91832
FDB56,8.75,Regular,0.074931201,Fruits and Vegetables,187.6556,OUT018,2009,Medium,Tier 3,Supermarket Type2,938.778,46.938900000000004,985.7169
FDD03,13.3,Low Fat,0.080131363,Dairy,234.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,4194.54,209.727,4404.267
NCL18,18.85,Low Fat,0.167444431,Household,194.6136,OUT013,1987,High,Tier 3,Supermarket Type1,1166.4816,58.32408000000001,1224.8056800000002
FDW22,9.695,Regular,0.03033748,Snack Foods,222.9114,OUT049,1999,Medium,Tier 1,Supermarket Type1,5764.4964,288.22482,6052.72122
FDE32,20.7,Low Fat,0.04874969,Fruits and Vegetables,37.5506,OUT035,2004,Small,Tier 2,Supermarket Type1,113.8518,5.69259,119.54438999999999
FDA34,12.857645184135976,Low Fat,0.014788594,Starchy Foods,174.408,OUT027,1985,Medium,Tier 3,Supermarket Type3,7443.644,372.1822,7815.8262
FDJ08,11.1,Low Fat,0.111298111,Fruits and Vegetables,191.7846,OUT017,2007,Medium,Tier 2,Supermarket Type1,3057.3536,152.86768,3210.2212799999998
FDG38,8.975,Regular,0.05268526,Canned,83.3224,OUT013,1987,High,Tier 3,Supermarket Type1,3579.3408,178.96704,3758.30784
FDD29,12.15,Low Fat,0.018485511,Frozen Foods,253.1698,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.0188,76.10094000000001,1598.11974
NCE31,7.67,Low Fat,0.184689756,Household,35.4216,OUT013,1987,High,Tier 3,Supermarket Type1,450.0808,22.504040000000003,472.58484
FDS19,13.8,Regular,0.064153845,Fruits and Vegetables,76.9012,OUT013,1987,High,Tier 3,Supermarket Type1,607.2096,30.360480000000003,637.5700800000001
FDU11,4.785,Low Fat,0.092516598,Breads,120.1098,OUT013,1987,High,Tier 3,Supermarket Type1,1325.6078,66.28039,1391.88819
FDL02,20.0,Regular,0.104245198,Canned,105.3622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1270.3464,63.51732,1333.8637199999998
FDO51,12.857645184135976,Regular,0.041779181,Meat,43.4112,OUT027,1985,Medium,Tier 3,Supermarket Type3,1107.8912,55.394560000000006,1163.28576
DRK23,8.395,Low Fat,0.07226985,Hard Drinks,254.104,OUT018,2009,Medium,Tier 3,Supermarket Type2,3542.056,177.1028,3719.1588
FDO27,6.175,Regular,0.179806961,Meat,95.2752,OUT018,2009,Medium,Tier 3,Supermarket Type2,1534.0032,76.70016000000001,1610.7033600000002
FDB16,8.21,Low Fat,0.044995631,Dairy,89.2198,OUT049,1999,Medium,Tier 1,Supermarket Type1,1308.297,65.41485,1373.7118500000001
FDA44,19.7,Low Fat,0.053523765,Fruits and Vegetables,55.393,OUT017,2007,Medium,Tier 2,Supermarket Type1,1471.418,73.5709,1544.9888999999998
NCB18,19.6,Low Fat,0.041459372,Household,89.6514,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239.7196,61.98598,1301.7055799999998
NCL53,7.5,Low Fat,0.036234918,Health and Hygiene,175.3028,OUT046,1997,Small,Tier 1,Supermarket Type1,3896.2616,194.81308,4091.0746799999997
FDR16,5.845,Regular,0.105445801,Frozen Foods,214.4218,OUT018,2009,Medium,Tier 3,Supermarket Type2,1496.0526,74.80263000000001,1570.85523
NCQ05,11.395,Low Fat,0.06613202877895108,Health and Hygiene,151.6708,OUT013,1987,High,Tier 3,Supermarket Type1,3460.8284,173.04142000000002,3633.86982
FDF44,7.17,Regular,0.05997133,Fruits and Vegetables,132.1968,OUT018,2009,Medium,Tier 3,Supermarket Type2,2870.9296,143.54648,3014.47608
FDU50,5.75,Regular,0.075595405,Dairy,114.7176,OUT017,2007,Medium,Tier 2,Supermarket Type1,1259.6936,62.984680000000004,1322.67828
FDG20,15.5,Regular,0.210375806,Fruits and Vegetables,178.2028,OUT010,1998,Medium,Tier 3,Grocery Store,177.1028,8.85514,185.95794
